id,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req
0,152.0,383875,0,949.0,2346362,0
1,240.0,772089,0,313.0,1789126,0
2,80.0,385437,0,69.0,141769,0
3,600.0,1616261,512,216.0,503915,138
