cluster_id,timeslice,cpu_cap,mem_cap,vf_cap,cpu_load,mem_load,vf_load
0,0,152,383875,0,16,63283,0
0,1,152,383875,0,63,145611,0
0,2,152,383875,0,90,230397,0
0,3,152,383875,0,88,210122,0
0,4,152,383875,0,87,216880,0
0,5,152,383875,0,62,183089,0
0,6,152,383875,0,106,215036,0
0,7,152,383875,0,105,208278,0
0,8,152,383875,0,95,180015,0
0,9,152,383875,0,58,130864,0
0,10,152,383875,0,85,173258,0
0,11,152,383875,0,82,174487,0
0,12,152,383875,0,76,191076,0
0,13,152,383875,0,66,140696,0
0,14,152,383875,0,39,89087,0
0,15,152,383875,0,33,93388,0
0,16,152,383875,0,47,219952,0
0,17,152,383875,0,60,174487,0
0,18,152,383875,0,55,143767,0
0,19,152,383875,0,25,73727,0
0,20,152,383875,0,16,39936,0
0,21,152,383875,0,37,94617,0
0,22,152,383875,0,55,132709,0
0,23,152,383875,0,38,90930,0
0,24,152,383875,0,32,57753,0
0,25,152,383875,0,29,68811,0
0,26,152,383875,0,24,56523,0
0,27,152,383875,0,10,35635,0
0,28,152,383875,0,19,41164,0
0,29,152,383875,0,23,60210,0
0,30,152,383875,0,14,41164,0
0,31,152,383875,0,18,50380,0
0,32,152,383875,0,16,44236,0
0,33,152,383875,0,10,39321,0
0,34,152,383875,0,23,65740,0
0,35,152,383875,0,36,92159,0
0,36,152,383875,0,41,103218,0
0,37,152,383875,0,31,80486,0
0,38,152,383875,0,13,43008,0
0,39,152,383875,0,1,18432,0
0,40,152,383875,0,10,21504,0
0,41,152,383875,0,39,81715,0
0,42,152,383875,0,23,50380,0
0,43,152,383875,0,23,50380,0
0,44,152,383875,0,22,47922,0
0,45,152,383875,0,11,44850,0
0,46,152,383875,0,17,68811,0
0,47,152,383875,0,7,30105,0
0,48,152,383875,0,6,23961,0
0,49,152,383875,0,6,23961,0
0,50,152,383875,0,0,0,0
0,51,152,383875,0,0,0,0
0,52,152,383875,0,0,0,0
0,53,152,383875,0,4,4915,0
0,54,152,383875,0,4,4915,0
0,55,152,383875,0,2,22118,0
0,56,152,383875,0,2,22118,0
0,57,152,383875,0,2,22118,0
0,58,152,383875,0,2,22118,0
0,59,152,383875,0,0,0,0
0,60,152,383875,0,0,0,0
0,61,152,383875,0,0,0,0
0,62,152,383875,0,0,0,0
0,63,152,383875,0,0,0,0
0,64,152,383875,0,1,18432,0
0,65,152,383875,0,1,18432,0
0,66,152,383875,0,10,36864,0
0,67,152,383875,0,10,36864,0
0,68,152,383875,0,9,18432,0
0,69,152,383875,0,9,18432,0
0,70,152,383875,0,0,0,0
0,71,152,383875,0,0,0,0
0,72,152,383875,0,0,0,0
0,73,152,383875,0,0,0,0
0,74,152,383875,0,3,6144,0
0,75,152,383875,0,3,6144,0
0,76,152,383875,0,3,6144,0
0,77,152,383875,0,0,0,0
0,78,152,383875,0,0,0,0
0,79,152,383875,0,0,0,0
0,80,152,383875,0,0,0,0
0,81,152,383875,0,0,0,0
0,82,152,383875,0,0,0,0
0,83,152,383875,0,4,9216,0
0,84,152,383875,0,4,9216,0
0,85,152,383875,0,4,9216,0
0,86,152,383875,0,0,0,0
0,87,152,383875,0,0,0,0
0,88,152,383875,0,0,0,0
0,89,152,383875,0,0,0,0
0,90,152,383875,0,0,0,0
0,91,152,383875,0,0,0,0
0,92,152,383875,0,0,0,0
0,93,152,383875,0,0,0,0
0,94,152,383875,0,0,0,0
0,95,152,383875,0,0,0,0
0,96,152,383875,0,0,0,0
0,97,152,383875,0,0,0,0
0,98,152,383875,0,0,0,0
0,99,152,383875,0,0,0,0
0,100,152,383875,0,0,0,0
0,101,152,383875,0,0,0,0
0,102,152,383875,0,0,0,0
1,0,240,772089,0,0,0,0
1,1,240,772089,0,0,0,0
1,2,336,1029450,0,0,0,0
1,3,336,1029450,0,101,556645,0
1,4,336,1029450,0,101,556645,0
1,5,336,1029450,0,27,54067,0
1,6,336,1029450,0,27,54067,0
1,7,336,1029450,0,72,324402,0
1,8,336,1029450,0,71,321945,0
1,9,336,1029450,0,0,0,0
1,10,336,1029450,0,0,0,0
1,11,336,1029450,0,0,0,0
1,12,336,1029450,0,0,0,0
1,13,336,1029450,0,0,0,0
1,14,336,1029450,0,0,0,0
1,15,336,1029450,0,0,0,0
1,16,336,1029450,0,0,0,0
1,17,336,1029450,0,0,0,0
1,18,336,1029450,0,0,0,0
1,19,336,1029450,0,0,0,0
1,20,336,1029450,0,0,0,0
1,21,336,1029450,0,0,0,0
1,22,336,1029450,0,0,0,0
1,23,336,1029450,0,0,0,0
1,24,336,1029450,0,0,0,0
1,25,336,1029450,0,0,0,0
1,26,336,1029450,0,0,0,0
1,27,336,1029450,0,0,0,0
1,28,336,1029450,0,0,0,0
1,29,336,1029450,0,0,0,0
1,30,336,1029450,0,0,0,0
1,31,336,1029450,0,0,0,0
1,32,336,1029450,0,0,0,0
1,33,336,1029450,0,0,0,0
1,34,336,1029450,0,0,0,0
1,35,336,1029450,0,0,0,0
1,36,336,1029450,0,0,0,0
1,37,336,1029450,0,16,51609,0
1,38,336,1029450,0,16,51609,0
1,39,336,1029450,0,0,0,0
1,40,336,1029450,0,0,0,0
1,41,336,1029450,0,0,0,0
1,42,336,1029450,0,0,0,0
1,43,336,1029450,0,0,0,0
1,44,336,1029450,0,0,0,0
1,45,336,1029450,0,0,0,0
1,46,336,1029450,0,0,0,0
1,47,336,1029450,0,30,194150,0
1,48,336,1029450,0,30,194150,0
