Solver,Min_Margin,Margin_1.0,Margin_0.9,Margin_0.8,Margin_0.7,Margin_0.6,Margin_0.5
solver_x,0.45,✅ 0.0,✅ 0.0,✅ 16.0,✅ 23.0,✅ 30.0,✅ 43.0
solver_y,0.35,✅ 0.0,✅ 0.0,✅ 40.0,✅ 40.0,✅ 40.00000000000001,✅ 60.0
solver_xy,0.35,✅ 0.0,✅ 0.0,✅ 16.0,✅ 23.0,✅ 30.000000000000004,✅ 36.0
