timeslice,cluster_id,cluster_name,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req,job_count,cpu_utilization,mem_utilization,vf_utilization,time_minutes
13,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,3.25
13,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,3.25
13,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,3.25
14,0,k8s-cicd,45.60000000000001,115160,0,16.0,32563,0,2,35.08771929824561,28.276311219173323,0.0,3.5
14,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,3.5
14,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,3.5
14,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,3.5
15,0,k8s-cicd,45.60000000000001,115160,0,6.0,12288,0,1,13.157894736842103,10.670371656825287,0.0,3.75
15,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,3.75
15,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,3.75
15,3,pat-171,180.0,484878,152,1.0,2457,0,1,0.5555555555555556,0.5067254030910868,0.0,3.75
16,0,k8s-cicd,45.60000000000001,115160,0,4.0,9216,0,1,8.771929824561402,8.002778742618965,0.0,4.0
16,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,4.0
16,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,4.0
16,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,4.0
17,0,k8s-cicd,45.60000000000001,115160,0,4.0,9216,0,1,8.771929824561402,8.002778742618965,0.0,4.25
17,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,4.25
17,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,4.25
17,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,4.25
18,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,4.5
18,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,4.5
18,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,4.5
18,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,4.5
19,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,4.75
19,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,4.75
19,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,4.75
19,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,4.75
20,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,5.0
20,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,5.0
20,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,5.0
20,3,pat-171,180.0,484878,152,1.0,1228,4,1,0.5555555555555556,0.2532595828228957,2.631578947368421,5.0
21,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,5.25
21,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,5.25
21,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,5.25
21,3,pat-171,180.0,484878,152,1.0,1228,4,1,0.5555555555555556,0.2532595828228957,2.631578947368421,5.25
22,0,k8s-cicd,45.60000000000001,115160,0,2.0,22118,0,1,4.385964912280701,19.206321639458146,0.0,5.5
22,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,5.5
22,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,5.5
22,3,pat-171,180.0,484878,152,1.0,1228,4,1,0.5555555555555556,0.2532595828228957,2.631578947368421,5.5
23,0,k8s-cicd,45.60000000000001,115160,0,2.0,22118,0,1,4.385964912280701,19.206321639458146,0.0,5.75
23,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,5.75
23,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,5.75
23,3,pat-171,180.0,484878,152,1.0,1228,4,1,0.5555555555555556,0.2532595828228957,2.631578947368421,5.75
24,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,6.0
24,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,6.0
24,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,6.0
24,3,pat-171,180.0,484878,152,1.0,460,0,1,0.5555555555555556,0.09486922483593811,0.0,6.0
25,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,6.25
25,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,6.25
25,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,6.25
25,3,pat-171,180.0,484878,152,2.0,2917,0,2,1.1111111111111112,0.601594627927025,0.0,6.25
26,0,k8s-cicd,45.60000000000001,115160,0,10.0,36864,0,2,21.929824561403503,32.01111497047586,0.0,6.5
26,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,6.5
26,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,6.5
26,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,6.5
27,0,k8s-cicd,45.60000000000001,115160,0,10.0,36864,0,2,21.929824561403503,32.01111497047586,0.0,6.75
27,1,k8s-mano,72.0,231627,0,7.5,39321,0,1,10.416666666666668,16.976000207229728,0.0,6.75
27,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,6.75
27,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,6.75
28,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,7.0
28,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,7.0
28,2,pat-141,24.0,115631,0,4.0,4915,0,1,16.666666666666664,4.250590239641618,0.0,7.0
28,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,7.0
29,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,7.25
29,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,7.25
29,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,7.25
29,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,7.25
30,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,7.5
30,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,7.5
30,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,7.5
30,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,7.5
31,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,7.75
31,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,7.75
31,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,7.75
31,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,7.75
32,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,8.0
32,1,k8s-mano,72.0,231627,0,30.0,203980,0,1,41.66666666666667,88.0639994473874,0.0,8.0
32,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,8.0
32,3,pat-171,180.0,484878,152,2.0,4915,0,1,1.1111111111111112,1.013657043627469,0.0,8.0
33,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,8.25
33,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,8.25
33,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,8.25
33,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,8.25
34,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,8.5
34,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,8.5
34,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,8.5
34,3,pat-171,180.0,484878,152,10.0,22118,6,1,5.555555555555555,4.56155981504626,3.9473684210526314,8.5
35,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,8.75
35,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,8.75
35,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,8.75
35,3,pat-171,180.0,484878,152,10.0,22118,6,1,5.555555555555555,4.56155981504626,3.9473684210526314,8.75
36,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,9.0
36,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,9.0
36,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,9.0
36,3,pat-171,180.0,484878,152,10.0,22118,6,1,5.555555555555555,4.56155981504626,3.9473684210526314,9.0
37,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,9.25
37,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,9.25
37,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,9.25
37,3,pat-171,180.0,484878,152,10.0,22118,6,1,5.555555555555555,4.56155981504626,3.9473684210526314,9.25
38,0,k8s-cicd,45.60000000000001,115160,0,0.0,0,0,0,0.0,0.0,0.0,9.5
38,1,k8s-mano,72.0,231627,0,0.0,0,0,0,0.0,0.0,0.0,9.5
38,2,pat-141,24.0,115631,0,0.0,0,0,0,0.0,0.0,0.0,9.5
38,3,pat-171,180.0,484878,152,0.0,0,0,0,0.0,0.0,0.0,9.5
