Solver,Min_Margin,Margin_1.0,Margin_0.9,Margin_0.8,Margin_0.7,Margin_0.6,Margin_0.5
solver_xy,0.35,✅ 6.0,✅ 11.0,✅ 9.0,✅ 14.0,✅ 14.0,✅ 14.0
solver_x,0.35,✅ 6.0,✅ 9.0,✅ 9.0,✅ 14.0,✅ 14.0,✅ 14.0
solver_y,0.4,✅ 10.0,✅ 10.0,✅ 10.0,✅ 20.0,✅ 20.0,✅ 30.0
