Solver,Min_Margin,Margin_1.0,Margin_0.95,Margin_0.9,Margin_0.85,Margin_0.8,Margin_0.75,Margin_0.7,Margin_0.65,Margin_0.6,Margin_0.55,Margin_0.5
solver_xy,0.5,✅ 0.0,✅ 0.0,✅ 0.0,✅ 5.0,✅ 19.999999999999996,✅ 26.0,✅ 40.0,✅ 40.00000000000001,✅ 46.00000000000021,✅ 48.99999999999999,✅ 62.0
solver_x,0.5,✅ 0.0,✅ 0.0,✅ 0.0,✅ 5.0,✅ 20.0,✅ 26.0,✅ 49.0,✅ 59.0,✅ 74.0,✅ 105.99999999999999,✅ 129.00000000000003
solver_y,0.65,✅ 0.0,✅ 0.0,✅ 0.0,✅ 20.000000000000004,✅ 40.0,✅ 40.0,✅ 40.0,✅ 40.0,❌ Infeasible,❓ Not tested,❓ Not tested
