timeslice,cluster_id,cluster_name,cpu_cap,mem_cap,vf_cap,cpu_req,mem_req,vf_req,job_count,cpu_utilization,mem_utilization,vf_utilization,time_minutes
14,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,3.5
15,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,3.75
15,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,3.75
15,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,3.75
15,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,3.75
16,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,4.0
16,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,4.0
16,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,4.0
16,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,4.0
17,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,4.25
17,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,4.25
17,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,4.25
17,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,4.25
18,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,4.5
18,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,4.5
18,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,4.5
18,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,4.5
19,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,4.75
19,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,4.75
19,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,4.75
19,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,4.75
20,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,5.0
20,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,5.0
20,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,5.0
20,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,5.0
21,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,5.25
21,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,5.25
21,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,5.25
21,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,5.25
22,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,5.5
22,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,5.5
22,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,5.5
22,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,5.5
23,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,5.75
23,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,5.75
23,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,5.75
23,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,5.75
24,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,6.0
24,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,6.0
24,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,6.0
24,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,6.0
25,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,6.25
25,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,6.25
25,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,6.25
25,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,6.25
26,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,6.5
26,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,6.5
26,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,6.5
26,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,6.5
27,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,6.75
27,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,6.75
27,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,6.75
27,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,6.75
28,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,7.0
28,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,7.0
28,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,7.0
28,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,7.0
29,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,7.25
29,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,7.25
29,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,7.25
29,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,7.25
30,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,7.5
30,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,7.5
30,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,7.5
30,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,7.5
31,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,7.75
31,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,7.75
31,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,7.75
31,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,7.75
32,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,8.0
32,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,8.0
32,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,8.0
32,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,8.0
33,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,8.25
33,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,8.25
33,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,8.25
33,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,8.25
34,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,8.5
34,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,8.5
34,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,8.5
34,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,8.5
35,0,k8s-cicd,152.0,383875.0,0,16.0,63283,0,5,10.526315789473683,16.48531422989254,0.0,8.75
35,1,k8s-mano,240.0,772089.0,0,0.0,0,0,0,0.0,0.0,0.0,8.75
35,2,pat-141,80.0,385437.0,0,0.0,0,0,0,0.0,0.0,0.0,8.75
35,3,pat-171,600.0,1616261.0,512,22.0,58982,36,1,3.6666666666666665,3.6492868416672803,7.03125,8.75
