Solver,Min_Margin,Margin_1.0,Margin_0.95,Margin_0.9,Margin_0.85,Margin_0.8,Margin_0.75,Margin_0.7,Margin_0.65,Margin_0.6,Margin_0.55,Margin_0.5
solver_xy,0.5,✅ 0.0,✅ 0.0,✅ 0.0,✅ 5.0,✅ 8.0,✅ 14.0,✅ 32.000000000000014,✅ 31.999999999999993,✅ 34.0,✅ 45.00000000000001,✅ 62.0
solver_x,0.5,✅ 0.0,✅ 0.0,✅ 0.0,✅ 5.0,✅ 8.0,✅ 14.0,✅ 37.0,✅ 47.0,✅ 65.0,✅ 106.0,✅ 139.0
solver_y,0.65,✅ 0.0,✅ 0.0,✅ 0.0,✅ 20.0,✅ 20.000000000000018,✅ 20.000000000000007,✅ 40.0,✅ 40.0,❌ Infeasible,❓ Not tested,❓ Not tested
