Solver,Min_Margin,Margin_1.0,Margin_0.95,Margin_0.9,Margin_0.85,Margin_0.8,Margin_0.75,Margin_0.7,Margin_0.65,Margin_0.6,Margin_0.55,Margin_0.5
solver_xy,0.5,✅ 0.0,✅ 4.0,✅ 16.0,✅ 20.0,✅ 32.0,✅ 31.999999999999993,✅ 32.00000000000013,✅ 32.00000000000003,✅ 34.00000000000004,✅ 50.0,✅ 62.000000000000064
solver_x,0.5,✅ 0.0,✅ 4.0,✅ 14.999999999999996,✅ 24.000000000000007,✅ 47.0,✅ 54.99999999999999,✅ 73.00000000000001,✅ 96.0,✅ 122.0,✅ 143.0,✅ 168.0
solver_y,0.65,✅ 0.0,✅ 20.0,✅ 20.0,✅ 20.0,✅ 40.0,✅ 40.00000000000008,✅ 39.999999999999986,✅ 40.00000000000001,❌ Infeasible,❓ Not tested,❓ Not tested
