Solver,Min_Margin,Margin_1.0,Margin_0.9,Margin_0.8,Margin_0.7,Margin_0.6,Margin_0.5
solver_x,0.45,✅ 0.0,✅ 0.0,✅ 16.0,✅ 28.0,✅ 34.0,✅ 44.0
solver_y,0.5,✅ 0.0,✅ 0.0,✅ 40.0,✅ 40.0,✅ 40.0,✅ 60.0
solver_xy,0.45,✅ 0.0,✅ 0.0,✅ 17.0,✅ 23.0,✅ 32.0,✅ 37.0
